,Location Name,Formal Name,Max Capacity,Accent Wall,Air Conditioner,Appliances Ceiling Fan,Bathroom,Bulletin Board,Carpet,Dobbs Ferry Classroom,Drawing Desks,Seating (mobile tablet arm chair desks),Blackboard (chalkboard),Cabinets,Individual Desks,Instructor's Podium,Instructor's Table,Mobile Furniture,Seating (basic tablet arm chair desks),Seating (mobile tablet arm chair desks w/ underseat storage),Seating (office chair),Seating (theatre style),Seating (triangular desks),Table (Physical Therapy),Table (Shared Long Tables),Whiteboard,Whiteboard (mobile),Honors,Lab Computer,Lab Smart Math,Lighting Dimmer Switch,MHLH Auditorium Pref,No Windows,Paper Towel Dispenser,Piano,Receptacles/Power Outlets,Safety Fire Extinguisher,Safety Hand Sanitizer (wipes/gel),Shades (blackout shades ideal for films),Shades/Blinds (basic),Sink,Sound Proof (ideal for film and music classes),Stage,Storage Room/Closet,AV Smart/Aquos Board,AV Space,Active Learning Classroom,Anatomage Table with wallmounted digital display,Cinema AutoScreen,Cinema Quality Projector,Cinema Quality Space (ideal for film classes),Computer Stations,Computers (MAC computers),Computers (laptops),Echo360,HDMI Connection,Lecture Capture,Level 2,Level 3,Mircrophones & Speech Reinforcement,Printer,Projector (Interactive Touch Technology),Projector (basic),Projector (laser),Projector Screen,Software Available: Tableau,Speakers,TV (multipanel),TV / DVD,TV / DVD (mobile),Video Conference Capabilities,Wireless Connection Pods,Zoom Software Installed,Telephone (standard),Thermostat,Unit Ventilator,Wall Clock analog/digital
67,BRONX BX2270,Bronx Classroom BX2270,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,3.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,1.00,,0.00,,0.00,4.00,0.00,,0.00,,,,,0.00,0.00,0
68,BRONX BX2275,Bronx Classroom BX2275,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,3.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,1.00,,0.00,,0.00,4.00,0.00,,0.00,,,,,0.00,0.00,0
69,BRONX BX2280,Bronx Classroom BX2280,34.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,34.00,1.00,1.00,0.00,34.00,0.00,,,,0.00,,2.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
70,BRONX BX2285,Bronx Classroom BX2285,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,3.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,1.00,,0.00,,0.00,4.00,0.00,,0.00,,,,,0.00,0.00,0
71,BRONX BX3210,Bronx Classroom BX3210,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,3.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,,0.00,1.00,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
72,BRONX BX3220,Bronx Classroom BX3220,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,4.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,6.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,1.00,0.00,0.00,0
73,BRONX BX3230,Bronx Classroom BX3230,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,4.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,6.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,1.00,0.00,0.00,0
74,BRONX BX3240,Bronx Classroom BX3240,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,2.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
75,BRONX BX3245,Bronx Classroom BX3245,24.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,1.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,8.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,1.00,0.00,0.00,0
76,BRONX BX3250,Bronx Classroom BX3250,24.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,1.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,4.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
77,BRONX BX3255,Bronx Classroom BX3255,24.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,24.00,1.00,1.00,0.00,,0.00,,,24.00,0.00,,1.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,8.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,1.00,0.00,0.00,0
78,BRONX BX3260,Bronx Classroom BX3260,24.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,1.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,8.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,1.00,0.00,,0.00,,,,1.00,0.00,0.00,0
79,BRONX BX4170,Bronx Classroom BX4170,30.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,2.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,6.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
80,BRONX BX4180,Bronx Classroom BX4180,40.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,40.00,1.00,1.00,0.00,40.00,0.00,,,,0.00,,1.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,8.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,1.00,,0.00,,0.00,6.00,0.00,,0.00,,,,,0.00,0.00,0
81,MANHATTAN MT332,Manhattan Hudson Video Conference Room MT332,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,,1.00,,,,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,1.00,0.00,0.00,0.00,0
82,MANHATTAN MT334,Manhattan Conference Room MT334,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,,,,,,0.00,0.00,0.00,0.00,2.00,,1.00,0.00,1.00,1.00,,0.00,0.00,0.00,0
83,MANHATTAN MT339A,Manhattan Multipurpose Room MT339A,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,1.00,,,,1.00,0.00,0.00,0.00,0.00,5.00,,,0.00,,1.00,,0.00,0.00,0.00,0
84,MANHATTAN MT343,Manhattan Classroom MT343,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,1.00,,,,1.00,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
85,MANHATTAN MT403A,Manhattan Metropolitan Room MT403A,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,1.00,,1.00,,1.00,0.00,0.00,0.00,0.00,5.00,,,0.00,,1.00,,0.00,0.00,0.00,0
86,MANHATTAN MT403B,Manhattan Metropolitan Room MT403B,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,1.00,,1.00,,1.00,0.00,0.00,0.00,0.00,5.00,,,0.00,,1.00,,0.00,0.00,0.00,0
87,MANHATTAN MT405,Manhattan Conference Room MT405,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,,,,,1.00,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
88,MANHATTAN MT413,Manhattan Classroom MT413,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,1.00,1.00,,,,,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
89,MANHATTAN MT414,Manhattan Computer Lab MT414,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,24.00,1.00,0.00,,1.00,,,2.00,1.00,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
90,MANHATTAN MT415,Manhattan Computer Lab MT415,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,,0.00,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,,,0.00,,1.00,,,2.00,1.00,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
91,MANHATTAN MT421,Manhattan Seminar Room MT421,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,,,,,,0.00,0.00,0.00,0.00,2.00,1.00,,0.00,,1.00,,0.00,0.00,0.00,0
92,MANHATTAN MT422,Manhattan Seminar Room MT422,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,,,,,,0.00,0.00,0.00,0.00,2.00,1.00,,0.00,,1.00,,0.00,0.00,0.00,0
93,MANHATTAN MT423,Manhattan Classroom MT423,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,1.00,1.00,,,,1.00,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
94,MANHATTAN MT424,Manhattan Classroom MT424,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,1.00,1.00,,,,3.00,0.00,0.00,0.00,0.00,2.00,,,0.00,,1.00,,0.00,0.00,0.00,0
