,Location Name,Formal Name,Max Capacity,Accent Wall,Air Conditioner,Appliances Ceiling Fan,Bathroom,Bulletin Board,Carpet,Dobbs Ferry Classroom,Drawing Desks,Seating (mobile tablet arm chair desks),Blackboard (chalkboard),Cabinets,Individual Desks,Instructor's Podium,Instructor's Table,Mobile Furniture,Seating (basic tablet arm chair desks),Seating (mobile tablet arm chair desks w/ underseat storage),Seating (office chair),Seating (theatre style),Seating (triangular desks),Table (Physical Therapy),Table (Shared Long Tables),Whiteboard,Whiteboard (mobile),Honors,Lab Computer,Lab Smart Math,Lighting Dimmer Switch,MHLH Auditorium Pref,No Windows,Paper Towel Dispenser,Piano,Receptacles/Power Outlets,Safety Fire Extinguisher,Safety Hand Sanitizer (wipes/gel),Shades (blackout shades ideal for films),Shades/Blinds (basic),Sink,Sound Proof (ideal for film and music classes),Stage,Storage Room/Closet,AV Smart/Aquos Board,AV Space,Active Learning Classroom,Anatomage Table with wallmounted digital display,Cinema AutoScreen,Cinema Quality Projector,Cinema Quality Space (ideal for film classes),Computer Stations,Computers (MAC computers),Computers (laptops),Echo360,HDMI Connection,Lecture Capture,Level 2,Level 3,Mircrophones & Speech Reinforcement,Printer,Projector (Interactive Touch Technology),Projector (basic),Projector (laser),Projector Screen,Software Available: Tableau,Speakers,TV (multipanel),TV / DVD,TV / DVD (mobile),Video Conference Capabilities,Wireless Connection Pods,Zoom Software Installed,Telephone (standard),Thermostat,Unit Ventilator,Wall Clock analog/digital
24,MAIN_HALL MH313,Dobbs Ferry Main Hall Computer Lab MH313,24.00,,,,,,1.00,1.00,,,,,,1.00,,,,,,,,,12.00,1.00,,,1.00,,,,,,,,1.00,,,5.00,,,,,,1.00,,,,,,24.00,,,,,,1.00,,,2.00,,1.00,,1.00,,2.00,,,,,,,1.00,,2.00,
25,MAIN_HALL MH314,Dobbs Ferry Main Hall Computer Lab MH314,20.00,,1.00,,,,,1.00,,,,,20.00,1.00,1.00,,,,,,,,,1.00,,,1.00,,,,,,,,1.00,1.00,,8.00,,,,,,1.00,,,,,,20.00,,,,,,1.00,,,2.00,,1.00,,1.00,,,,,,,,,,,,
26,MAIN_HALL MH316,Dobbs Ferry Main Hall Classroom MH316,18.00,,1.00,,,2.00,,1.00,,,,,18.00,1.00,1.00,,,,,,18.00,,,1.00,,,,,,,,,,6.00,,,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,2.00,,,,,,,1.00,,1.00,
27,MAIN_HALL MH324,Dobbs Ferry Main Hall Classroom MH324,30.00,,1.00,,,,1.00,1.00,,,1.00,,30.00,1.00,1.00,,,,,,30.00,,,1.00,,,,,,,,,,34.00,,1.00,,6.00,,,,,,1.00,,,,,1.00,,,,,1.00,,1.00,,,,1.00,,,,,2.00,,,,,1.00,,,,,
28,MAIN_HALL MH326,Dobbs Ferry Main Hall Classroom MH326,30.00,,1.00,,,,1.00,1.00,,,,,30.00,1.00,1.00,,,,,,30.00,,,2.00,,,,,,,,,,26.00,,,,6.00,,,,,,1.00,,,,,1.00,,,,,1.00,,1.00,,,,1.00,,,,,2.00,,,,,1.00,,,,1.00,
29,MAIN_HALL MH332,Dobbs Ferry Main Hall Classroom MH332,19.00,,1.00,,,,1.00,1.00,,,,,19.00,1.00,1.00,,19.00,,,,,,,1.00,,1.00,,,,,,,,4.00,,1.00,,6.00,,,,1.00,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,1.00,,2.00,,,,,1.00,,,,3.00,
30,MAIN_HALL MH364,Dobbs Ferry Main Hall Classroom MH364,40.00,,,,,,1.00,1.00,,,,,,1.00,,,,,,,,,15.00,1.00,,,,,,,,,,24.00,,,,,,,,4.00,,1.00,,,,,,,,,1.00,,,,1.00,,,1.00,,,,,,,2.00,,,,,,,,
31,MAIN_HALL MH382,Dobbs Ferry Main Hall Classroom MH382,24.00,,,,,,1.00,1.00,,,,,,1.00,,,,,,,,,12.00,3.00,,,,,,,,,,10.00,,1.00,,3.00,,,,,,1.00,,1.00,,,,,,,,,,1.00,,,,1.00,,,,,2.00,,,,,,,,,,
32,MAIN_HALL MHG2,Dobbs Ferry Main Hall Classroom MHG2,48.00,,1.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,4.00,20.00,2.00,1.00,,,,,,,,,20.00,,1.00,,6.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,2.00,,,,,,,1.00,
33,MAIN_HALL MHG3,Dobbs Ferry Main Hall Classroom MHG3,48.00,,1.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,2.00,18.00,2.00,,,,,,,,,,16.00,,1.00,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,2.00,,,,,,,1.00,
34,MAIN_HALL MHG4,Dobbs Ferry Main Hall Classroom MHG4,28.00,,1.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,2.00,18.00,2.00,,,,,,,,,,16.00,,1.00,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,2.00,,,,,,,1.00,
35,MAIN_HALL MHLH,Dobbs Ferry Main Hall Lecture Hall MHLH,178.00,,,,1.00,,1.00,1.00,,,,,,1.00,,,,,,178.00,,,,1.00,,,,,,1.00,1.00,,,,4.00,,,,,,1.00,,,1.00,,,,,,,,,,,,1.00,,1.00,,,,1.00,1.00,,1.00,,,,1.00,,,,,,
36,MERCY_HALL MEH29,Dobbs Ferry Mercy Hall Computer Lab MEH29,32.00,,,,,,1.00,1.00,,,,2.00,,1.00,,,,,,,,,,2.00,,,1.00,1.00,,,,,,78.00,,,,9.00,,,,,,1.00,,,,,,32.00,,,,,,1.00,,,2.00,1.00,,,,,1.00,,,,,,,,,1.00,
37,MERCY_HALL MEH30,Dobbs Ferry Mercy Hall Classroom MEH30,32.00,,,,,,1.00,1.00,,,,,30.00,1.00,1.00,,32.00,,,,,,,3.00,,,,,,,,,,20.00,1.00,,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,,,,,,,,1.00,,2.00,
